data_year,province,mmr_per_10k_births,source_file_year,source
2013,Costa Rica,1.9844,2022,INEC_CR_2022_C12
2014,Costa Rica,2.9251,2022,INEC_CR_2022_C12
2015,Costa Rica,2.7848,2022,INEC_CR_2022_C12
2016,Costa Rica,2.857,2022,INEC_CR_2022_C12
2017,Costa Rica,2.3252,2022,INEC_CR_2022_C12
2018,Costa Rica,1.607,2022,INEC_CR_2022_C12
2019,Costa Rica,2.0226,2022,INEC_CR_2022_C12
2020,Costa Rica,3.439,2022,INEC_CR_2022_C12
2021,Costa Rica,4.0524,2022,INEC_CR_2022_C12
2022,Costa Rica,1.4971,2022,INEC_CR_2022_C12
2013,San José,0.9261,2022,INEC_CR_2022_C12
2014,San José,3.1939,2022,INEC_CR_2022_C12
2015,San José,4.6301,2022,INEC_CR_2022_C12
2016,San José,3.3506,2022,INEC_CR_2022_C12
2017,San José,2.4597,2022,INEC_CR_2022_C12
2018,San José,0.5041,2022,INEC_CR_2022_C12
2019,San José,2.6248,2022,INEC_CR_2022_C12
2020,San José,2.9924,2022,INEC_CR_2022_C12
2021,San José,4.5446,2022,INEC_CR_2022_C12
2022,San José,0.671,2022,INEC_CR_2022_C12
2013,Alajuela,0.6994,2022,INEC_CR_2022_C12
2014,Alajuela,2.7233,2022,INEC_CR_2022_C12
2015,Alajuela,1.3316,2022,INEC_CR_2022_C12
2016,Alajuela,2.0255,2022,INEC_CR_2022_C12
2017,Alajuela,2.696,2022,INEC_CR_2022_C12
2018,Alajuela,2.6094,2022,INEC_CR_2022_C12
2019,Alajuela,2.1476,2022,INEC_CR_2022_C12
2020,Alajuela,6.1824,2022,INEC_CR_2022_C12
2021,Alajuela,4.137,2022,INEC_CR_2022_C12
2022,Alajuela,2.5325,2022,INEC_CR_2022_C12
2013,Cartago,2.7906,2022,INEC_CR_2022_C12
2014,Cartago,4.1765,2022,INEC_CR_2022_C12
2015,Cartago,2.742,2022,INEC_CR_2022_C12
2016,Cartago,6.9522,2022,INEC_CR_2022_C12
2020,Cartago,6.782,2022,INEC_CR_2022_C12
2021,Cartago,3.6114,2022,INEC_CR_2022_C12
2014,Heredia,3.0722,2022,INEC_CR_2022_C12
2016,Heredia,4.7066,2022,INEC_CR_2022_C12
2017,Heredia,3.2462,2022,INEC_CR_2022_C12
2018,Heredia,3.2499,2022,INEC_CR_2022_C12
2019,Heredia,1.6892,2022,INEC_CR_2022_C12
2020,Heredia,1.9301,2022,INEC_CR_2022_C12
2021,Heredia,4.3262,2022,INEC_CR_2022_C12
2022,Heredia,2.0751,2022,INEC_CR_2022_C12
2013,Guanacaste,3.5063,2022,INEC_CR_2022_C12
2014,Guanacaste,5.0176,2022,INEC_CR_2022_C12
2015,Guanacaste,1.7039,2022,INEC_CR_2022_C12
2016,Guanacaste,1.7274,2022,INEC_CR_2022_C12
2017,Guanacaste,3.5236,2022,INEC_CR_2022_C12
2019,Guanacaste,1.8083,2022,INEC_CR_2022_C12
2020,Guanacaste,1.9889,2022,INEC_CR_2022_C12
2021,Guanacaste,4.4218,2022,INEC_CR_2022_C12
2013,Puntarenas,1.357,2022,INEC_CR_2022_C12
2015,Puntarenas,4.0739,2022,INEC_CR_2022_C12
2016,Puntarenas,1.3976,2022,INEC_CR_2022_C12
2018,Puntarenas,2.7252,2022,INEC_CR_2022_C12
2019,Puntarenas,1.509,2022,INEC_CR_2022_C12
2021,Puntarenas,3.3893,2022,INEC_CR_2022_C12
2022,Puntarenas,3.358,2022,INEC_CR_2022_C12
2013,Limón,7.3928,2022,INEC_CR_2022_C12
2014,Limón,2.4981,2022,INEC_CR_2022_C12
2015,Limón,2.464,2022,INEC_CR_2022_C12
2017,Limón,3.9277,2022,INEC_CR_2022_C12
2018,Limón,2.6824,2022,INEC_CR_2022_C12
2019,Limón,2.9446,2022,INEC_CR_2022_C12
2020,Limón,1.6184,2022,INEC_CR_2022_C12
2021,Limón,3.218,2022,INEC_CR_2022_C12
2022,Limón,1.69,2022,INEC_CR_2022_C12
2014,Costa Rica,2.9251,2023,INEC_CR_2023_C12
2015,Costa Rica,2.7848,2023,INEC_CR_2023_C12
2016,Costa Rica,2.857,2023,INEC_CR_2023_C12
2017,Costa Rica,2.3252,2023,INEC_CR_2023_C12
2018,Costa Rica,1.607,2023,INEC_CR_2023_C12
2019,Costa Rica,2.0226,2023,INEC_CR_2023_C12
2020,Costa Rica,3.439,2023,INEC_CR_2023_C12
2021,Costa Rica,4.0524,2023,INEC_CR_2023_C12
2022,Costa Rica,1.4971,2023,INEC_CR_2023_C12
2014,San José,3.1939,2023,INEC_CR_2023_C12
2015,San José,4.6301,2023,INEC_CR_2023_C12
2016,San José,3.3506,2023,INEC_CR_2023_C12
2017,San José,2.4597,2023,INEC_CR_2023_C12
2018,San José,0.5041,2023,INEC_CR_2023_C12
2019,San José,2.6248,2023,INEC_CR_2023_C12
2020,San José,2.9924,2023,INEC_CR_2023_C12
2021,San José,4.5446,2023,INEC_CR_2023_C12
2022,San José,0.671,2023,INEC_CR_2023_C12
2014,Alajuela,2.7233,2023,INEC_CR_2023_C12
2015,Alajuela,1.3316,2023,INEC_CR_2023_C12
2016,Alajuela,2.0255,2023,INEC_CR_2023_C12
2017,Alajuela,2.696,2023,INEC_CR_2023_C12
2018,Alajuela,2.6094,2023,INEC_CR_2023_C12
2019,Alajuela,2.1476,2023,INEC_CR_2023_C12
2020,Alajuela,6.1824,2023,INEC_CR_2023_C12
2021,Alajuela,4.137,2023,INEC_CR_2023_C12
2022,Alajuela,2.5325,2023,INEC_CR_2023_C12
2014,Cartago,4.1765,2023,INEC_CR_2023_C12
2015,Cartago,2.742,2023,INEC_CR_2023_C12
2016,Cartago,6.9522,2023,INEC_CR_2023_C12
2020,Cartago,6.782,2023,INEC_CR_2023_C12
2021,Cartago,3.6114,2023,INEC_CR_2023_C12
2014,Heredia,3.0722,2023,INEC_CR_2023_C12
2016,Heredia,4.7066,2023,INEC_CR_2023_C12
2017,Heredia,3.2462,2023,INEC_CR_2023_C12
2018,Heredia,3.2499,2023,INEC_CR_2023_C12
2019,Heredia,1.6892,2023,INEC_CR_2023_C12
2020,Heredia,1.9301,2023,INEC_CR_2023_C12
2021,Heredia,4.3262,2023,INEC_CR_2023_C12
2022,Heredia,2.0751,2023,INEC_CR_2023_C12
2014,Guanacaste,5.0176,2023,INEC_CR_2023_C12
2015,Guanacaste,1.7039,2023,INEC_CR_2023_C12
2016,Guanacaste,1.7274,2023,INEC_CR_2023_C12
2017,Guanacaste,3.5236,2023,INEC_CR_2023_C12
2019,Guanacaste,1.8083,2023,INEC_CR_2023_C12
2020,Guanacaste,1.9889,2023,INEC_CR_2023_C12
2021,Guanacaste,4.4218,2023,INEC_CR_2023_C12
2015,Puntarenas,4.0739,2023,INEC_CR_2023_C12
2016,Puntarenas,1.3976,2023,INEC_CR_2023_C12
2018,Puntarenas,2.7252,2023,INEC_CR_2023_C12
2019,Puntarenas,1.509,2023,INEC_CR_2023_C12
2021,Puntarenas,3.3893,2023,INEC_CR_2023_C12
2022,Puntarenas,3.358,2023,INEC_CR_2023_C12
2014,Limón,2.4981,2023,INEC_CR_2023_C12
2015,Limón,2.464,2023,INEC_CR_2023_C12
2017,Limón,3.9277,2023,INEC_CR_2023_C12
2018,Limón,2.6824,2023,INEC_CR_2023_C12
2019,Limón,2.9446,2023,INEC_CR_2023_C12
2020,Limón,1.6184,2023,INEC_CR_2023_C12
2021,Limón,3.218,2023,INEC_CR_2023_C12
2022,Limón,1.69,2023,INEC_CR_2023_C12
